Ayurvedic_Diagnosis,Near_Correlated_English_Equivalent,Category,Sub_Category,Symptom_P1,Symptom_P2,Remarks 
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
Vata Dosha,Disorders of Vata,Head & Face,TOUNGE,Insipid Taste,,
Vata Dosha,Disorders of Vata,Head & Face,EYE LIDS,Inability to move eyelids,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,HUNCH BACK,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,HORRIPILATION,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Speech and Voice Disorders,Hoarse Voice,,
Vata Dosha,Disorders of Vata,Neck & Throat,THROAT,HICCUPS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Neuromuscular Disorders,HEMIPLEGIA,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Behavioural Abnormalities,"Hears non-existent voices, sounds, or music",,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,FOOT DROP,,
Vata Dosha,Disorders of Vata,Vital Organs,Heart,Fluttering or vibrating sensation in the heart region,,
Vata Dosha,Disorders of Vata,Head & Face,FACE,FACIAL PARALYSIS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,Entropion,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,ARMS,Emaciation,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Developmental Abnormalities,DWARFISM,,
Vata Dosha,Disorders of Vata,Head & Face,MOUTH,DRYNESS,,
Vata Dosha,Disorders of Vata,LOWER BODY,KNEES,Patellar dislocation,,
Vata Dosha,Disorders of Vata,LOWER BODY,ANKLES,DISLOCATION,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,ELBOW,DISLOCATION,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,FINGERS,DISLOCATION,,
Vata Dosha,Disorders of Vata,LOWER BODY,HIPS,DISLOCATION,,
Vata Dosha,Disorders of Vata,Head & Face,JAWS,DISLOCATION,,
Vata Dosha,Disorders of Vata,LOWER BODY,KNEES,DISLOCATION,,
Vata Dosha,Disorders of Vata,Upper Body,SHOULDERS,DISLOCATION,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,WRIST,DISLOCATION,,
Vata Dosha,Disorders of Vata,Circulatory System,VEINS ,DILATATION,,
Vata Dosha,Disorders of Vata,Body Waste & Excretions,DEFECATION,DIARRHEA,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Altered Level of Consciousness,DELIRIUM,,EXCESSIVE
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,VAGINA,CYSTOCELE,,
Vata Dosha,Disorders of Vata,Back & Spine,BACK,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Upper Body,CLAVICULAR REGION,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,EYE LIDS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,FACE,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,FINGERS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,FOREHEAD,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,HANDS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,JAWS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,JOINTS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,LOWER BODY,KNEES,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,LOWER BODY,LEGS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,LIPS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,NAILS,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Neck & Throat,NECK,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,NOSE,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Head & Face,TOUNGE,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,Back & Spine,WAIST,CROOKEDNESS,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,CRAMPS,,
Vata Dosha,Disorders of Vata,LOWER BODY,CALFS,CRAMPS,,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,CRAMPS,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,GENERAL ABDOMEN,CRAMPS,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,HANDS,CRAMPS,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,LUMBAR REGION,CRAMPS,,
Vata Dosha,Disorders of Vata,Head & Face,SCALP,CRACKING,,
Vata Dosha,Disorders of Vata,LOWER BODY,FEET,CRACKING OF SOLES,,
Vata Dosha,Disorders of Vata,ARMS & HANDS,HANDS,CRACKING OF PALMS,,
Vata Dosha,Disorders of Vata,Head & Face,LIPS,CRACKING,,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Cough-related Symptoms,COUGH,DRY,
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,CONVULSIONS,,CLONIC
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,CONVULSIONS,,TONIC
Vata Dosha,Disorders of Vata,General Systemic Symptoms,Whole-Body Symptoms,CONVULSIONS,,TETANIC
Vata Dosha,Disorders of Vata,Upper Body,CHEST,CONSTRICTION,,
Vata Dosha,Disorders of Vata,Head & Face,EYE LIDS,CONSTRICTION,,
Vata Dosha,Disorders of Vata,Head & Face,EYEBROWS,CONSTRICTION,,
Vata Dosha,Disorders of Vata,ABDOMINAL REGION,LUMBAR REGION,CONSTRICTION,,
Vata Dosha,Disorders of Vata,Head & Face,EARS,Loss of hearing,Complete,
Vata Dosha,Disorders of Vata,Head & Face,FACE,COLOR- ABNORMAL,BLACK,
Vata Dosha,Disorders of Vata,Head & Face,FACE,COLOR- ABNORMAL,RED,LIKE DAWN
Vata Dosha,Disorders of Vata,Skin & External Features,SKIN,COLOR- ABNORMAL,BLACK,
Vata Dosha,Disorders of Vata,Skin & External Features,SKIN,COLOR- ABNORMAL,RED,LIKE DAWN
Vata Dosha,Disorders of Vata,Head & Face,PALATE,CLEFT PALATE,,
Vata Dosha,Disorders of Vata,Head & Face,LIPS,CLEFT LIP,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,CATARACT,,
Vata Dosha,Disorders of Vata,Vital Organs,Heart,CARDIAC ARREST,,
Vata Dosha,Disorders of Vata,Head & Face,EYES,Blurry or unclear vision,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,SCROTUM,ATROPHY,,
Vata Dosha,Disorders of Vata,Head & Face,TOUNGE,ASTRINGENT TASTE,,
Vata Dosha,Disorders of Vata,Vital Organs,Heart,Abnormal Heart Rhythm,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,VAGINA,Abnormal curvature or deviation of the vaginal canal,,
Vata Dosha,Disorders of Vata,Urogenital & Pelvic System,PENIS,Abnormal curvature or deviation of the penis,,
Vata Dosha,Disorders of Vata,Body Waste & Excretions,Stool,ABNORMAL,Coarse Stool,
Vata Dosha,Disorders of Vata,Body Waste & Excretions,Stool,ABNORMAL,Loose Stool,
Vata Dosha,Disorders of Vata,Body Waste & Excretions,Vomitus,ABNORMAL,Coarse,
Kapha Dosha,Disorders of Kapha,Skin & External Features,SKIN,WET,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Whole-Body Symptoms,WEAKNESS,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,Cutaneous symptoms,URTICARIAL RASHES,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,FEET,TINGLING SENSATION,,
Kapha Dosha,Disorders of Kapha,ARMS & HANDS,HANDS,TINGLING SENSATION,,
Kapha Dosha,Disorders of Kapha,Circulatory System,VEINS,THICKENING OF VEINS,,
Kapha Dosha,Disorders of Kapha,Head & Face,TOUNGE,SWEET TASTE,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Sense of contentment or inner satisfaction,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Body Temperature Disturbances,PYREXIA,,MILD
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Miscellaneous,Persistent illness or Long-duration disorder,,
Kapha Dosha,Disorders of Kapha,Head & Face,FACE,Oiliness,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,SKIN,Oiliness,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,EPIGASTRIC REGION,NUMBNESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,GENERAL ABDOMEN,NUMBNESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,Hypogastric Region,NUMBNESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,LUMBAR REGION,NUMBNESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,UMBILICAL REGION,NUMBNESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,ANUS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,ARMS & HANDS,ARMS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Whole-Body Symptoms,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Upper Body,CARDIAC REGION,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,FEET,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,ARMS & HANDS,HANDS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Head & Face,HEAD,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,HERPES,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,JOINTS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,KNEES,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,LEGS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,LUMBAR REGION,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,RASHES,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Upper Body,SHOULDERS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,SWELLING,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,THIGHS,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,VAGINA,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Back & Spine,WAIST,NUMBNESS,,
Kapha Dosha,Disorders of Kapha,Body Waste & Excretions,MUCUS,Mucus Expectoration,,
Kapha Dosha,Disorders of Kapha,Head & Face,MOUTH,Discharge of Substances,Mucus,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Miscellaneous,LAZINESS,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,ANUS,ITCHING,,
Kapha Dosha,Disorders of Kapha,Head & Face,EYES,ITCHING,,
Kapha Dosha,Disorders of Kapha,Head & Face,MOUTH,ITCHING,,
Kapha Dosha,Disorders of Kapha,Head & Face,NASAL PASSAGE ,ITCHING,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,SKIN,ITCHING,,
Kapha Dosha,Disorders of Kapha,Digestive System,Digestive Disorders,IRREGULAR DIGESTIVE PATTERN,,
Kapha Dosha,Disorders of Kapha,Digestive System,Digestive Disorders,INDIGESTION,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Sleep disorders,HYPERSOMNIA,,
Kapha Dosha,Disorders of Kapha,Body Waste & Excretions,Oral Secretions,HYPERSALIVATION,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,EPIGASTRIC REGION,HEAVINESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,Hypogastric Region,HEAVINESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,LUMBAR REGION,HEAVINESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,UMBILICAL REGION,HEAVINESS IN ABDOMINAL LUMP,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,ANUS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Back & Spine,BACK,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Upper Body,CHEST,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Head & Face,EYES,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,FEET,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,GENERAL ABDOMEN,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,GROINS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Head & Face,HEAD,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,HEMORRHOIDS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,HERPES,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,HIPS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,Hypogastric Region,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,JOINTS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,KNEES,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,LEGS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,LUMBAR REGION,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Head & Face,MOUTH,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,ABDOMINAL REGION,NAVEL,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,RASHES,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,SWELLING,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,LOWER BODY,THIGHS,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Neck & Throat,THROAT,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,URETHRA,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Urogenital & Pelvic System,VAGINA,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Back & Spine,WAIST,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,WOUND,HEAVINESS,,
Kapha Dosha,Disorders of Kapha,Neck & Throat,NECK,GOITRE,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,EXCESSIVE
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Breast Milk Abnormalities,Feeling of fullness or weight in breasts,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,Cutaneous symptoms,Feeling of Film or Coating on the skin,,
Kapha Dosha,Disorders of Kapha,Upper Body,CARDIAC REGION,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,Head & Face,EARS,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,Head & Face,EYES,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,Head & Face,MOUTH,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,Head & Face,NOSE,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,Neck & Throat,THROAT,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,Head & Face,TOUNGE,Feeling of Film or Coating,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Whole-Body Symptoms,Excessively wet body texture,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Whole-Body Symptoms,Excessive Plumpness of the Body,,
Kapha Dosha,Disorders of Kapha,Head & Face,FACE,Excessive Moisture on Face,,
Kapha Dosha,Disorders of Kapha,Head & Face,EYES,Discharge of Substances,,EXCESSIVE
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,Excessive 
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,Altered Level of Consciousness,DROWSINESS,,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,SWELLING,Does not change or move,,
Kapha Dosha,Disorders of Kapha,Head & Face,MOUTH,Discharge of Substances,,EXCESSIVE
Kapha Dosha,Disorders of Kapha,Head & Face,NOSE,Discharge of Substances,MUCUS,
Kapha Dosha,Disorders of Kapha,Head & Face,NOSE,Discharge of Substances,,EXCESSIVE
Kapha Dosha,Disorders of Kapha,Head & Face,EARS,Discharge of Substances,,EXCESSIVE
Kapha Dosha,Disorders of Kapha,Upper Body,CARDIAC REGION,CONSTRICTION,,
Kapha Dosha,Disorders of Kapha,Upper Body,CHEST,CONSTRICTION,,
Kapha Dosha,Disorders of Kapha,Neck & Throat,THROAT,CONSTRICTION,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,HERPES,COLOR- WHITE,,
Kapha Dosha,Disorders of Kapha,Head & Face,EYES,COLOR- ABNORMAL,WHITE,
Kapha Dosha,Disorders of Kapha,Head & Face,FACE,COLOR- ABNORMAL,White,
Kapha Dosha,Disorders of Kapha,ARMS & HANDS,NAILS,COLOR- ABNORMAL,WHITE,
Kapha Dosha,Disorders of Kapha,Body Waste & Excretions,Stool,COLOR- ABNORMAL,WHITE,
Kapha Dosha,Disorders of Kapha,Body Waste & Excretions,URINE,COLOR- ABNORMAL,WHITE,
Kapha Dosha,Disorders of Kapha,General Systemic Symptoms,SWELLING,Cold Sensation,,
Kapha Dosha,Disorders of Kapha,Skin & External Features,SKIN PORES,Clogged Pores,,
Kapha Dosha,Disorders of Kapha,Head & Face,EARS,Accumulation of Wastes,,EXCESSIVE
Kapha Dosha,Disorders of Kapha,Circulatory System,ARTERIES,ATHEROSCLEROSIS ,,BLOCKAGE IN ARTERIES
